ix,iy,count
-1408219,770080,1
-1408219,770787,8
-1408219,771069,1
-1408219,771306,1
-1408219,771307,1
-1408219,771316,1
-1408219,771327,13
-1408219,771329,1
-1408219,771331,1
-1408219,771358,1
-1408219,771549,1
-1408219,771563,1
-1408219,771564,1
-1408219,772251,1
-1408219,772392,1
-1408219,772406,1
-1408219,772731,1
-1408219,772734,1
-1408219,772763,1
-1408219,772901,1
-1408219,772908,1
-1408219,773309,1
-1408219,773576,1
-1408218,770072,1
-1408218,770075,1
-1408218,770204,4
-1408218,770481,1
-1408218,771306,1
-1408218,771319,2
-1408218,771324,1
-1408218,771554,1
-1408218,772245,1
-1408218,772289,1
-1408218,772421,1
-1408218,772434,1
-1408218,772437,1
-1408218,772931,1
-1408218,773227,1
-1408217,770052,1
-1408217,770077,1
-1408217,771298,1
-1408217,771300,1
-1408217,771316,1
-1408217,771346,1
-1408217,772239,1
-1408217,772245,1
-1408217,772248,1
-1408217,772346,1
-1408217,772349,1
-1408217,772386,1
-1408217,772415,2
-1408217,772432,1
-1408217,772736,1
-1408217,772759,1
-1408217,772965,1
