ix,iy,count,n_genera,n_observers,n_captive,last_observed,median_last10_observed
-1408214,773041,1,1,1,0,2016-07-30,2016-07-30
-1408213,772911,1,1,1,0,2019-04-26,2019-04-26
-1408212,772927,1,1,1,0,2019-04-26,2019-04-26
-1408212,772934,1,1,1,0,2019-04-26,2019-04-26
-1408212,772941,1,1,1,0,2019-04-26,2019-04-26
-1408211,770396,1,1,1,0,2019-05-01,2019-05-01
-1408211,772911,1,1,1,0,2019-04-26,2019-04-26
-1408211,772921,2,2,1,0,2019-04-26,2019-04-26
-1408211,772922,1,1,1,0,2019-04-26,2019-04-26
-1408211,772943,1,1,1,0,2019-04-26,2019-04-26
-1408211,772944,1,1,1,0,2019-04-26,2019-04-26
-1408210,772941,1,1,1,0,2019-04-26,2019-04-26
-1408210,772943,1,1,1,0,2019-04-26,2019-04-26
-1408209,773017,1,1,1,0,2019-07-09,2019-07-09
-1408208,772908,1,1,1,0,2019-04-26,2019-04-26
-1408208,772909,1,1,1,0,2019-04-26,2019-04-26
-1408206,772877,1,1,1,0,2019-04-07,2019-04-07
-1408206,773014,1,1,1,0,2018-10-14,2018-10-14
-1408203,773005,1,1,1,0,2018-05-24,2018-05-24
-1408201,772910,1,1,1,0,2019-04-26,2019-04-26
-1408197,770891,1,1,1,1,2016-05-18,2016-05-18
-1408197,773030,1,1,1,0,2019-07-10,2019-07-10
-1408195,772905,1,1,1,0,2019-04-26,2019-04-26
-1408195,772912,1,1,1,0,2019-04-26,2019-04-26
-1408195,772937,1,1,1,0,2019-04-26,2019-04-26
-1408194,772912,1,1,1,0,2019-04-26,2019-04-26
-1408194,772931,1,1,1,0,2019-04-26,2019-04-26
-1408190,772910,1,1,1,0,2019-04-26,2019-04-26
-1408190,772987,1,1,1,0,2018-05-24,2018-05-24
-1408189,772935,1,1,1,0,2019-04-26,2019-04-26
-1408189,772985,1,1,1,0,2018-05-24,2018-05-24
-1408188,772911,1,1,1,0,2019-04-26,2019-04-26
-1408188,772921,1,1,1,0,2019-04-26,2019-04-26
-1408187,772929,1,1,1,0,2019-04-26,2019-04-26
-1408187,772930,1,1,1,0,2019-04-26,2019-04-26
-1408187,772954,1,1,1,0,2019-07-09,2019-07-09
-1408186,772968,1,1,1,0,2019-07-09,2019-07-09
-1408186,772978,1,1,1,0,2019-04-26,2019-04-26
-1408186,772979,1,1,1,0,2019-04-26,2019-04-26
-1408185,772930,1,1,1,0,2019-04-26,2019-04-26
-1408185,772980,1,1,1,0,2019-04-26,2019-04-26
-1408184,772925,1,1,1,0,2019-04-26,2019-04-26
-1408184,772930,1,1,1,0,2019-04-26,2019-04-26
-1408183,772908,1,1,1,0,2018-06-06,2018-06-06
-1408183,772917,1,1,1,0,2019-04-26,2019-04-26
-1408183,772922,1,1,1,0,2019-04-26,2019-04-26
-1408182,772925,1,1,1,0,2019-04-26,2019-04-26
-1408181,772914,1,1,1,0,2019-04-26,2019-04-26
-1408180,770734,1,1,1,1,2019-05-25,2019-05-25
-1408180,772912,1,1,1,0,2019-04-26,2019-04-26
-1408180,772917,1,1,1,0,2019-04-26,2019-04-26
-1408179,771301,1,1,1,0,2018-12-12,2018-12-12
-1408178,772825,1,1,1,0,2019-04-13,2019-04-13
-1408176,772906,1,1,1,0,2019-04-26,2019-04-26
-1408176,772913,1,1,1,0,2019-04-26,2019-04-26
-1408175,772963,1,1,1,0,2019-04-26,2019-04-26
-1408174,772913,1,1,1,0,2019-04-26,2019-04-26
-1408174,772979,1,1,1,0,2016-05-19,2016-05-19
-1408173,772801,1,1,1,0,2018-12-13,2018-12-13
-1408173,772913,1,1,1,0,2019-04-26,2019-04-26
-1408173,772979,2,2,1,0,2016-05-19,2016-05-19
-1408172,772801,2,2,1,0,2018-04-17,2018-04-17
-1408171,772946,1,1,1,0,2019-04-26,2019-04-26
-1408170,772912,1,1,1,0,2019-04-26,2019-04-26
-1408170,772955,1,1,1,0,2019-04-26,2019-04-26
-1408169,772912,1,1,1,0,2019-04-26,2019-04-26
-1408169,772956,1,1,1,0,2019-04-26,2019-04-26
-1408168,772797,1,1,1,0,2016-03-31,2016-03-31
-1408168,772914,1,1,1,0,2019-04-26,2019-04-26
-1408168,772949,1,1,1,0,2019-04-26,2019-04-26
-1408167,772915,2,1,1,0,2019-04-26,2019-04-26
-1408167,772939,1,1,1,0,2019-04-26,2019-04-26
-1408166,772915,1,1,1,0,2019-04-26,2019-04-26
-1408165,772915,1,1,1,0,2019-04-26,2019-04-26
-1408164,772933,1,1,1,0,2019-04-26,2019-04-26
-1408164,772943,1,1,1,0,2019-04-26,2019-04-26
-1408163,772928,1,1,1,0,2019-04-26,2019-04-26
-1408161,772805,1,1,1,0,2017-03-29,2017-03-29
-1408160,772915,1,1,1,0,2019-04-26,2019-04-26
-1408159,772799,1,1,1,0,2017-04-18,2017-04-18
-1408159,772978,1,1,1,0,2019-07-10,2019-07-10
-1408158,772923,1,1,1,0,2019-04-26,2019-04-26
-1408157,772803,1,1,1,0,2017-01-13,2017-01-13
-1408156,772915,1,1,1,0,2019-07-25,2019-07-25
-1408153,772918,1,1,1,0,2019-04-26,2019-04-26
-1408152,772928,1,1,1,0,2019-06-04,2019-06-04
-1408149,772921,1,1,1,0,2019-07-09,2019-07-09
-1408146,772784,1,1,1,0,2017-04-18,2017-04-18
-1408144,772797,1,1,1,0,2018-08-10,2018-08-10
-1408137,772992,1,1,1,1,2019-05-25,2019-05-25
-1408136,771309,1,1,1,0,2016-05-17,2016-05-17
-1408132,772868,1,1,1,0,2017-05-09,2017-05-09
-1408129,771769,1,1,1,0,2016-07-17,2016-07-17
-1408127,772342,1,1,1,0,2019-05-03,2019-05-03
-1408121,772849,1,1,1,0,2018-08-05,2018-08-05
-1408118,773559,1,1,1,1,2019-07-23,2019-07-23
-1408114,771562,1,1,1,1,2019-04-28,2019-04-28
-1408106,772577,1,1,1,1,2016-05-18,2016-05-18
-1408104,772836,1,1,1,1,2017-09-26,2017-09-26
-1408099,772813,1,1,1,0,2018-10-07,2018-10-07
-1408090,772304,1,1,1,0,2018-11-19,2018-11-19
-1408089,771256,1,1,1,1,2018-10-25,2018-10-25
-1408084,772740,4,4,1,0,2017-05-13,2017-05-13
-1408084,772827,1,1,1,0,2018-01-27,2018-01-27
-1408083,772797,1,1,1,0,2018-10-07,2018-10-07
